title,ingredients,steps
"""Ayam Crispy Sehat""","""1) Ayam potong 2) Bawang putih bubuk 3) Lada putih bubuk 4) Garam 5) Telur ayam 6) Tepung terigu 7) Tepung maizena""","""1) Marinasi ayam: lumuri & remas remas ayam dg bawang putih, lada & garam. Masukkan kulkas minimal 3 jam 2) Tuang secukupnya telur di ayam lalu  lumuri ayam dg telur 3) Campur & aduk rata tepung terigu & maizena. Baluri ayam dengan tepung sambil sedikit diremas. Hentakkan ayam pelan agar tepung yang tidak menempel terlepas 4) Goreng ayam dengan minyak menutup keseluruhan ayam 5) Gunakan api sedang cederung kecil 6)Biarkan ayam hingga matang"""
"""Ayam Kecap Tanpa Minyak""","""1) Ayam 2) Bawang putih & Bawang merah 3) Daun salam 4) Garam 5) Kecap 6) Saus raja rasa 7) Cabe rawit 8) Kemiri 9) Daun jeruk 10) Kecap inggris 11) Kaldu jamur 12) Merica""","""1) Rebus ayam dengan bumbu ungkep sampai empuk 2) Di wajan yg lain rebus bumbu halus dan daun jeruk sampai mendidih 3) Tambahkan kecap, saus inggris, garam, kaldu dan gula 4) Masukkan ayam yg sudah di rebus dan tambahkan air sampai ayam tenggelam 5) Ungkep sampai air menyusut (koreksi rasa) 6) Terakhir tambahkan saus raja rasa dan hidangkan"""
"""Ayam Serundeng Sehat""","""1) Ayam kampung potong kecil 2) Kelapa parut kasar (setengah tua)  3) Bawang putih 4) Bawang merah 5) Jahe 6) Kunyit 7) Serai 8) Daun salam 9) Daun jeruk 10) Garam 11) Gula kelapa (opsional) 12) Air jeruk nipis 13) Minyak kelapa""","""1) Cuci bersih ayam, lumuri dengan air jeruk nipis dan sedikit garam, diamkan 15 menit lalu bilas  2) Haluskan bawang putih, bawang merah, kunyit, jahe, dan sedikit garam 3) Tumis bumbu halus bersama serai, daun salam, dan daun jeruk dengan sedikit minyak kelapa hingga harum 4) Masukkan ayam, aduk hingga berubah warna 5) Tambahkan air secukupnya, masak hingga ayam empuk dan air menyusut 6) Masukkan kelapa parut, aduk rata dan masak dengan api kecil hingga kelapa kering dan berwarna kecokelatan, aduk terus agar tidak gosong 7) Tambahkan gula kelapa jika ingin rasa manis alami 8) Sajikan ayam serundeng sehat dengan nasi merah atau nasi shirataki"""
"""Bakso Sehat""","""1) Dada ayam fillet 2) Telur 3) Tepung Tapioka 4) Baking powder 5) Bawang putih  & Bawang merah 6) Daun bawang 7) Garam 8) Saos tiram 9) Kaldu bubuk 10 Merica bubuk 11) Air rebusan 12) Seledri 13) Tulang ayam 14) Kubis 15) Sawi""","""1) Masukkan dalam blender, ayam,telur, daun bawang dan semua bumbu kecuali tapioka lalu haluskan semua 2) Jika sudah halus,pindahkan kewadah lain dan tambahkan tapioka. Campur sampai rata hingga menjadi adonan 3) Panaskan air dan cetak adonan seukuran sesuai selera 4) Maukkan langsung ke dalam air yang sudah mendidih (api kecil) 5) Didihkan kembali air dengan api sedang,tunggu sampai semua mengapung. Lalu angkat dan tiriskan 6) Siapkan air rebusan bakso,masukkan tulang ayam dan semua bumbu kuah, rebus sampai tulangnya matang. Terakhir tambahkan irisan daun bawang dan seledri 7) Bakso kuah sehat siap dihidangkan. Hidangkan dg irisan kol,sawi rebus dan sambal"""
"""Bubur Ayam Oat""","""1) Ayam suwir 2) Oat 3) Air 4) Daun Bawang 5) Daun Seledri 6) Daun Salam 7) Sereh 8) Merica 9) Garam 10) Penyedap""","""1) Didihkan air beserta daun salam dan sereh, tunggu sampai aroma salam sereh keluar 2) Masukkan oat, garam, penyedap, merica dan aduk sampe oat matang. Jangan lupa tes rasa. Jika tekstur mau lebih encer tinggal tambah air 3) Tabur daun bawang, seledri, suwiran ayam 4) Bubur ayam siap dihidangkan"""
"""Capcay Sehat""","""1) Telur puyuh rebus 2) Wortel 3) Brokoli 4) Bawang bombay 5) Saos tiram 6) Gula 7) Air 8) Adonan cair tepung maizena 9) Royco/ garam 10) Minyak kelapa/sayur (opsional)""","""1) Potong potong brokoli, dan wortel, lalu rendam brokoli dengan air garam 5-10 menit. Lalu tiriskan 2) Kupas kulit telur puyuh rebus, dan pisahkan di wadah lain 3) Potong memanjang 1/2 bawang bombay 4) Panaskan sedikit minyak, masukkan bawang bombay, masak sampai sedikit layu 5) Masukkan wortel, beri sedikit air, masak sampai sedikit larut, lalu masukkan brokoli 6) Tambahkan saos tiram, royco/garam, gula, dan sedikit air. Koreksi rasa 7) Aduk merata, lalu masukkan telur puyuh rebus 8) Lalu tambahkan maizena yang sudah di larutkan, tunggu sebentar sampai mengental dan siap disajikan"""
"""Cumi Bakar Sehat""","""1) Cumi yang sudah dibersihkan 2) Bawang putih & Bawang merah yang sudah dihaluskan 3) Jahe (haluskan) 4) Air jeruk nipis 5) Kecap manis 6) Minyak zaitun 7) Saus tiram rendah sodium 8) Merica bubuk 9) Garam 10) Daun pisang (opsional)""","""1) Cuci bersih cumi, tiriskan, lalu lumuri dengan air jeruk nipis dan sedikit garam. Diamkan 10 menit, bilas kembali 2) Campur bumbu halus (bawang putih, bawang merah, jahe) dengan kecap manis, saus tiram, merica, dan minyak zaitun 3) Masukkan cumi ke dalam bumbu, aduk rata dan diamkan 30 menit agar meresap 4) Panaskan alat pemanggang (bisa pakai grill pan atau teflon anti lengket) 5) Bakar cumi di atas api kecil-sedang selama ±2–3 menit per sisi. Olesi sisa bumbu selama membakar agar cumi tetap juicy 6) Angkat dan sajikan selagi hangat, bisa ditambahkan perasan jeruk nipis segar di atasnya"""
"""Cumi Hitam Sehat""","""1) Cumi segar (jangan buang tintanya) 2) Bawang putih halus 3) Bawang merah iris 4) Tomat 5) Daun salam 6) Jahe 7) Air jeruk nipis 8) Merica bubuk 9) Garam 10) Minyak zaitun""","""1) Cuci bersih cumi, potong sesuai selera, sisihkan tinta dalam wadah terpisah. Lumuri cumi dengan air jeruk nipis, diamkan 10 menit lalu bilas kembali 2) Panaskan minyak zaitun, tumis bawang putih, bawang merah, jahe, dan daun salam hingga harum. 3) Masukkan potongan tomat, aduk hingga layu 4) Tambahkan cumi dan aduk rata. Masak hingga cumi mengeluarkan air 5) Masukkan tinta cumi, aduk perlahan hingga kuah menjadi hitam dan mengental. Tambahkan merica dan garam secukupnya 6) Masak hingga cumi matang (sekitar 5–7 menit). Jangan terlalu lama agar tidak alot"""
"""Cumi Rica Sehat""","""1) Cumi yang sudah dibersihkan 2) Cabai merah kriting 3) Cabai rawit merah 4) Bawang putih & Bawang merah 5) Jahe 6) Batang serai 7) Daun jeruk 8) Tomat 9) Merica bubuk 10) Garap 11) Air jeruk nipis 12) Minyak zaitun""","""1) Cuci bersih cumi dan potong sesuai selera. Lumuri dengan air jeruk nipis, diamkan 10 menit, lalu bilas 2) Haluskan cabai merah, cabai rawit, bawang merah, bawang putih, jahe, dan tomat 3) Panaskan minyak zaitun, tumis bumbu halus bersama serai dan daun jeruk hingga harum 4) Masukkan cumi, aduk rata. Masak dengan api sedang selama 5–7 menit hingga cumi matang dan bumbu meresap 5) Tambahkan garam dan merica secukupnya. Koreksi rasa 6) Angkat dan siap disajikan"""
"""Gado-Gado Sehat""","""1) Sayuran hijau (selada, bayam, kangkung) 2) Tahu 3) Tempe 4) Telur rebus 5) Kacang tanah 6) Cabai 7) Bawang putih 8) Gula kelapa 9) Kecap manis 10) Air jeruk nipis""","""1) Cuci bersih semua sayuran dan bahan pelengkap. 2) Rebus telur hingga matang, lalu belah dua. 3) Goreng kerupuk merah hingga garing. 4) Haluskan kacang tanah, bawang putih, cabai, dan gula kelapa. 5) Tambahkan kecap manis dan air jeruk nipis, aduk rata. 6) Rebus sayuran hijau, tahu, dan tempe hingga matang. 7) Susun sayuran, tahu, tempe, dan telur rebus di piring. 8) Sirami dengan saus kacang secukupnya. 9) Sajikan gado-gado dengan lontong."""
